	ranges_bin	norm_signal	pre_signal	post_signal	surround_signal	enrichment_factor1	enrichment_factor2
64	[3415490, 3415767)	1.7619047619047619	0.6	0.2	0.8	2.202380952380952	2.3333983637006703
65	[3421290, 3421427)	1.4615384615384615	0.0	0.5	0.5	2.923076923076923	1.9356048796602232
66	[3425129, 3425192)	1.3333333333333333	0.25	1.4285714285714286	1.6785714285714286	0.7943262411347517	1.7658149779356422
67	[3428284, 3428354)	4.8	0.0	1.0	1.0	4.8	6.356933920568312
68	[3429164, 3429298)	2.3076923076923075	0.0	1.4166666666666667	1.4166666666666667	1.6289592760180993	3.0562182310424575
69	[3433816, 3433915)	2.5	0.0	0.75	0.75	3.3333333333333335	3.3109030836293294
70	[3434016, 3434177)	1.3529411764705883	0.0	0.25	0.25	5.411764705882353	1.7917828452582254
71	[3437655, 3437830)	1.6923076923076923	0.0	2.5	2.5	0.676923076923077	2.241226702764469
72	[3440135, 3440190)	2.75	0.3333333333333333	1.5	1.8333333333333333	1.5	3.6419933919922625
73	[3441027, 3441357)	2.0	0.0	4.25	4.25	0.47058823529411764	2.6487224669034632
74	[3441831, 3441997)	1.75	0.0	1.0	1.0	1.75	2.3176321585405306
75	[3442793, 3442996)	1.4615384615384615	0.0	0.8571428571428571	0.8571428571428571	1.705128205128205	1.9356048796602232
76	[3444517, 3444624)	3.0	1.0	0.5	1.5	2.0	3.973083700355195
77	[3444736, 3445077)	1.5172413793103448	0.0	1.125	1.125	1.3486590038314175	2.0093756645474548
78	[3445383, 3445889)	1.5142857142857142	0.25	0.5	0.75	2.019047619047619	2.005461296369765
79	[3449470, 3449929)	2.0588235294117645	0.3333333333333333	0.6363636363636364	0.9696969696969697	2.1231617647058822	2.7266260688712123
80	[3461754, 3461814)	1.0	1.0	1.5	2.5	0.4	1.3243612334517316
81	[3463680, 3463862)	1.4285714285714286	0.3333333333333333	0.7142857142857143	1.0476190476190477	1.3636363636363635	1.8919446192167597
82	[3464330, 3464546)	1.8125	0.7142857142857143	0.3333333333333333	1.0476190476190477	1.7301136363636362	2.400404735631264
83	[3464856, 3464952)	1.1666666666666667	0.25	0.875	1.125	1.0370370370370372	1.5450881056936872
84	[3470731, 3470876)	2.2	1.75	1.0	2.75	0.8	2.91359471359381
85	[3477891, 3477986)	1.5	0.14285714285714285	1.1428571428571428	1.2857142857142856	1.1666666666666667	1.9865418501775975
86	[3480164, 3480359)	2.0	0.0	0.25	0.25	8.0	2.6487224669034632
87	[3480821, 3481011)	1.15	1.0	8.0	9.0	0.12777777777777777	1.5230154184694913
88	[3481257, 3481535)	3.0	0.8	0.5	1.3	2.3076923076923075	3.973083700355195
89	[3484188, 3484353)	2.5555555555555554	0.6666666666666666	0.2	0.8666666666666667	2.9487179487179485	3.384478707709981
90	[3484975, 3485191)	2.3846153846153846	0.0	0.75	0.75	3.1794871794871793	3.1580921720772066
91	[3486061, 3486150)	2.3333333333333335	0.6666666666666666	0.3333333333333333	1.0	2.3333333333333335	3.0901762113873743
92	[3490270, 3490560)	1.75	0.5714285714285714	0.8	1.3714285714285714	1.2760416666666667	2.3176321585405306
93	[3490784, 3491342)	2.090909090909091	0.25	1.0	1.25	1.6727272727272726	2.7691189426718026
94	[3492153, 3492342)	3.375	0.0	0.25	0.25	13.5	4.469719162899595
95	[3495317, 3495409)	4.428571428571429	0.0	0.5714285714285714	0.5714285714285714	7.750000000000001	5.865028319571955
96	[3495537, 3495665)	2.7142857142857144	0.0	9.0	9.0	0.3015873015873016	3.5946947765118433
97	[3496719, 3496943)	1.9411764705882353	0.0	0.8	0.8	2.426470588235294	2.5708188649357147
98	[3498668, 3498830)	3.4545454545454546	2.5	2.0	4.5	0.7676767676767677	4.575066079196891
99	[3498966, 3499147)	2.6666666666666665	0.75	2.3333333333333335	3.0833333333333335	0.8648648648648648	3.5316299558712845
100	[3507210, 3507425)	3.3076923076923075	2.2941176470588234	5.444444444444445	7.738562091503268	0.42742983367983367	4.380579464494189
101	[3507627, 3507730)	1.375	1.6666666666666667	2.0952380952380953	3.761904761904762	0.36550632911392406	1.8209966959961312
102	[3508390, 3508572)	1.391304347826087	2.6470588235294117	3.2	5.847058823529412	0.23794943574490418	1.8425895421937137
103	[3508653, 3508860)	3.2142857142857144	3.0	0.2857142857142857	3.2857142857142856	0.9782608695652175	4.256875393237709
104	[3509064, 3509238)	2.8125	2.0	0.3333333333333333	2.3333333333333335	1.2053571428571428	3.7247659690829953
105	[3509927, 3510096)	2.0	0.0	1.0	1.0	2.0	2.6487224669034632
106	[3511711, 3511817)	2.5	0.6	1.8	2.4	1.0416666666666667	3.3109030836293294
107	[3512179, 3512326)	1.75	1.0	0.75	1.75	1.0	2.3176321585405306
108	[3514182, 3514400)	2.210526315789474	0.6	0.75	1.35	1.6374269005847955	2.92753535815646
109	[3522685, 3522809)	0.875	0.8333333333333334	4.666666666666667	5.5	0.1590909090909091	1.1588160792702653
110	[3533635, 3533843)	2.0588235294117645	0.3333333333333333	0.625	0.9583333333333333	2.1483375959079285	2.7266260688712123
111	[3540500, 3540636)	1.6428571428571428	1.125	0.6666666666666666	1.7916666666666665	0.9169435215946844	2.1757363120992737
112	[3542106, 3542694)	1.375	0.5	1.5789473684210527	2.0789473684210527	0.6613924050632911	1.8209966959961312
113	[3543162, 3543212)	6.5	0.0	0.3333333333333333	0.3333333333333333	19.5	8.608348017436256
114	[3552147, 3552224)	1.625	0.0	1.25	1.25	1.3	2.152087004359064
115	[3552752, 3552810)	0.6666666666666666	1.5	3.5	5.0	0.13333333333333333	0.8829074889678211
116	[3558643, 3558826)	1.3636363636363635	0.5	1.5	2.0	0.6818181818181818	1.8059471365250885
117	[3562077, 3562277)	1.6153846153846154	2.6666666666666665	1.6666666666666667	4.333333333333333	0.3727810650887574	2.1393527617297203
118	[3566366, 3566544)	2.125	0.0	1.2	1.2	1.7708333333333335	2.81426762108493
119	[3567137, 3567626)	1.8222222222222222	0.5555555555555556	0.3333333333333333	0.8888888888888888	2.0500000000000003	2.4132804698453776
120	[3579349, 3579477)	3.4285714285714284	0.0	0.625	0.625	5.485714285714286	4.540667086120223
121	[3586294, 3586484)	1.5833333333333333	0.3333333333333333	0.7272727272727273	1.0606060606060606	1.4928571428571429	2.096905286298575
122	[3591121, 3591403)	1.6666666666666667	0.0	0.3333333333333333	0.3333333333333333	5.000000000000001	2.207268722419553
123	[3597109, 3597198)	2.4444444444444446	0.0	0.16666666666666666	0.16666666666666666	14.666666666666668	3.237327459548678
124	[3616393, 3616840)	2.2	0.0	1.0	1.0	2.2	2.91359471359381
125	[3654954, 3655019)	3.0	0.0	0.75	0.75	4.0	3.973083700355195
126	[3667468, 3667655)	1.3529411764705883	0.4	1.3333333333333333	1.7333333333333334	0.7805429864253394	1.7917828452582254
127	[3677919, 3678011)	2.0	0.5	0.6666666666666666	1.1666666666666665	1.7142857142857144	2.6487224669034632
128	[3679654, 3679708)	2.0	0.0	0.8333333333333334	0.8333333333333334	2.4	2.6487224669034632
129	[3684485, 3684577)	1.2	0.8181818181818182	0.7692307692307693	1.5874125874125875	0.7559471365638766	1.589233480142078
