	count	mean	std	min	25%	50%	75%	max	mode	ATACseq_overlap	ATACseq_ranges_overlap	ATACseq_Jaccard	DNAseq_overlap	DNAseq_ranges_overlap	DNAseq_Jaccard	genes_overlap	percentage_open	percentage_open_adj	model_name
Length	21882.0	181.60451512658807	171.57285726085678	5.0	95.0	115.0	210.0	5100.0	95.0	0.8670355215399465	0.01604984561648972	0.0160104386654353	0.7984026325145309	0.024300241326465133	0.02415204840714182	0.5782499175866347	0.21760666347200436	0.2603816832857076	DBSCAN eps=0.00064, threshold=1
Length	16219.0	142.91818237869165	124.55000576326	5.0	90.0	95.0	155.0	1990.0	95.0	0.7958293117276818	0.025255501533656313	0.02509291648682024	0.711655325798477	0.03713303336079966	0.0365826343627875	0.5889434380648751	0.12693169878769847	0.1518827083018411	DBSCAN eps=0.00064, threshold=1.5
Length	10598.0	123.07274957539158	103.04517503300232	5.0	75.0	95.0	130.0	1985.0	95.0	0.7287693206998274	0.041100952600003834	0.04048171190770511	0.6199307145987152	0.05748567266593832	0.055528647835212185	0.6090115577022598	0.07142403031128901	0.085463877542957	DBSCAN eps=0.00064, threshold=2
Length	5864.0	110.81514324693042	93.32004613491408	5.0	70.0	95.0	115.0	1470.0	95.0	0.6272753225214448	0.07100889477085963	0.0681340976141327	0.5211783478987011	0.09700532455141424	0.08906748731513156	0.635562155673879	0.035583741304415564	0.04257845008334911	DBSCAN eps=0.00064, threshold=2.5
Length	3106.0	103.02801030264006	83.51303631466129	5.0	65.0	85.0	105.0	1075.0	95.0	0.5116433979962208	0.11761378728457368	0.10574299930604138	0.423889407932269	0.1602131216699739	0.13156523859014332	0.6730051092951672	0.017523275885813767	0.020967832505804886	DBSCAN eps=0.00064, threshold=3
Length	20553.0	181.99070695275628	171.05941577826894	5.0	95.0	115.0	210.0	5100.0	95.0	0.8188306303611969	0.01610338849150705	0.016046216855427405	0.7568975353248063	0.02447456258663719	0.02428367328424572	0.5793359364034589	0.20482500243268553	0.24508752655583638	DBSCAN eps=0.00128, threshold=1
Length	15226.0	142.735124129778	123.03072646920867	5.0	90.0	95.0	155.0	1735.0	95.0	0.7507918598170226	0.02541268172374999	0.025200114801080663	0.6749208344012766	0.03756111140508493	0.03689364969675988	0.5888311933317535	0.1190077424837136	0.14240113706779012	DBSCAN eps=0.00128, threshold=1.5
Length	9974.0	122.79175857228795	100.4662690685334	5.0	75.0	95.0	130.0	1495.0	95.0	0.6909503677220267	0.041500745065218725	0.040744425267684146	0.5896038826282152	0.05822694890689747	0.055958981827769504	0.6072710200249035	0.06706518354167361	0.08024821070193244	DBSCAN eps=0.00128, threshold=2
Length	5468.0	110.63368690563277	92.335487186943	5.0	70.0	95.0	115.0	1470.0	95.0	0.5966748684765025	0.0725553562720578	0.06916330241690224	0.49629182548016104	0.09922554943011348	0.0901469961013294	0.6327715742753474	0.03312641405835411	0.039638085139995116	DBSCAN eps=0.00128, threshold=2.5
Length	2878.0	102.4739402362752	82.84046576817887	5.0	65.0	85.0	105.0	1075.0	95.0	0.4855969875341553	0.12112098196120982	0.10734763793725208	0.40345930929565355	0.1654618201546182	0.13293885923976562	0.6707310457073105	0.01614963680018811	0.019324176692901603	DBSCAN eps=0.00128, threshold=3
Length	8866.0	733.3103992781412	43787.9632590079	5.0	95.0	115.0	195.0	4000215.0	95.0	0.7528037954894577	0.008517533565176197	0.008493777487785507	0.7062150162465172	0.013137830633712372	0.013066418359437565	0.6064037234312539	0.3560197617846433	0.42600269393123746	DBSCAN eps=0.00256, threshold=1
Length	6278.0	124.49585855367951	97.5639881384295	5.0	75.0	95.0	135.0	1370.0	95.0	0.32741534236891834	0.030815586276604592	0.028981025460224942	0.29602559756591623	0.045809476896306864	0.04130928893657771	0.45930257105753053	0.0427991112114303	0.05121214783846975	DBSCAN eps=0.00256, threshold=1.5
